Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/Pretraining Loss,Is Training
5000,0.90239596,113.27272727272727,1412.9083,-807.4094,-0.01250000037252903,-0.007500000298023224,88.81909408569337,116655090.0,0.28445703,0.00029995173,0.19998392,0.009998393,3175543300.0,43901640.0,0.09831299,1.0
10000,-0.06601687,119.5,6.783052,-4.7528825,0.0,0.0,41.44744282419031,20.475094,0.36313933,0.00029985065,0.1999502,0.0099950265,97.15806,1.4088858,0.060473494,1.0
15000,-0.8437527,127.0,3.570933,3.7148182,-0.005000000074505806,-0.0030000001192092896,41.77373405471444,14.767761,0.31514505,0.00029975377,0.1999179,0.0099918,69.539635,1.2002221,0.05237698,1.0
20000,-1.4522307,241.2,3.9069529,7.06715,0.0,0.0,84.89119336605071,16.026384,0.3204712,0.0002996528,0.19988427,0.009988437,73.69906,1.1788052,0.049236085,1.0
25000,-1.9149354,155.88888888888889,3.0614345,7.955142,-0.0031250000465661287,-0.001875000074505806,24.07995838113129,3.9918168,0.305348,0.0002995459,0.19984864,0.009984879,37.92752,0.71915203,0.046962835,1.0
30000,-2.2522995,197.83333333333334,1.5451092,10.460459,0.0,0.0,42.02528088291486,7.7910285,0.3044497,0.00029944733,0.19981577,0.009981595,46.74588,0.9871076,0.04547274,1.0
35000,-2.4890296,282.75,0.84901154,10.71021,-0.010000000149011612,-0.006000000238418579,28.766854149103164,1.3565269,0.29214513,0.0002993529,0.1997843,0.009978452,32.4297,0.74408555,0.0466285,1.0
40000,-2.6529782,140.0,0.45084706,9.788993,0.0,0.0,19.03364429788457,1.4240961,0.31099933,0.00029925446,0.1997515,0.0099751735,30.28615,0.6318855,0.04398343,1.0
45000,-2.7773032,231.0,0.10948659,18.941525,0.0,0.0,57.768748986721036,8.564036,0.3345411,0.00029915597,0.19971867,0.009971892,48.357723,1.1283814,0.045942675,1.0
50000,-2.8292227,207.28571428571428,0.20145449,21.8219,0.0,0.0,36.072256833314896,3.1238618,0.3107456,0.00029905175,0.1996839,0.009968422,33.582157,0.827259,0.04961268,1.0
